title,author,date,price,slots,duration,description,image_url,author_url,sold
Workshop Sensory Practicum,Dima,2023-01-14 11:00,25,10,02:30h,"Get deeper in the coffee world and discover the world of taste and flavour by learning about different layers of acidity in a coffee cup. A more advanced coffee workshop for real coffee lovers or coffee professionals. Some basic coffee knowledge is required. We will learn concept of flavour /taste perception by brain, learn to identify and understand what kind of flavour and taste we get in a coffee cup and why.",/assets/workshop.jpg,https://www.instagram.com/thankyoumama.cafe/,
Winter Workshop Coffee Casino,Dima,2022-12-10 11:00,25,10,02:30h,"Learn and play workshop. Coffee introduction workshop with elements of game and real prize at stake. In this workshop we will learn how origins of terrior infuence coffee flavour, as well as what's the difference between robusta and arabica beans; how does coffee procesiing influence the ultimate coffee cup flavour and much more. In the end of the workshop we will offer you to guess coffee origins by its flavour. The winner wil go away with TYM tote back and Nomad coffee pack. This workshop includes 2 coffee tastings (one in the begining and one in the end).",/assets/winter_casino.jpg,https://www.instagram.com/thankyoumama.cafe/,
Workshop Coffee Casino,Dima,2022-11-12 11:00,25,12,02:30h,"Learn and play workshop. Coffee introduction workshop with elements of game and real prize at stake. In this workshop we will learn how origins of terrior infuence coffee flavour, as well as what's the difference between robusta and arabica beans; how does coffee procesiing influence the ultimate coffee cup flavour and much more. In the end of the workshop we will offer you to guess coffee origins by its flavour. The winner wil go away with TYM tote back and Nomad coffee pack. This workshop includes 2 coffee tastings ( one in the begining and one in the end).",/assets/brew-nomad.jpg,https://www.instagram.com/thankyoumama.cafe/,
1 Year Anniversary Cupping Session (NOMAD Coffee),Anna,2022-09-08 18:00,0,20,01:00h,"It's our first anniversary, 1 year since we're open! Thank you mama cafe is inviting coffee passionates, beginners and experts for a cupping session with us. Since we work with @nomadcoffee and proudly represent the Barcelona roasters here in Lisbon, this cupping session will be focused on exploring latest espresso and filter roasts. Our coffee expert Anna will prepare a selection of @nomancoffee and will guide you through the tasting process. ",/assets/1year_tasting.jpg,https://www.instagram.com/thankyoumama.cafe/,
Bean-to-bar chocolate workshop,Anna,2022-08-16 18:00,30,5,02:00h,"We'll start with a brief history and geography of cacao beans. We'll learn about bean-to-bar chocolate production and sustainability and the difference between mass-market and naturally produced chocolate.

After that, we're going to use chocolate to smell various scents and notes individually. 

Finally we'll proceed with more chocolate tasting and evaluation based on the knowledge that we learned in the first part of the workshop.",/assets/choco.png,https://www.instagram.com/thankyoumama.cafe/,
"""Gong fu"" tea workshop",Marcus,2022-07-31 11:00,25,5,02:00h,"Marcus is fantastic and he's back! Another rare ocassion to take a dip into the tea world and we couldn't be happier to host this opportunity.

As usual, in this workshop you will learn the basics of the Chinese approach or ""art"" of how best to brew tea, using much smaller brewing vessels and a higher leaf to water ratio than western brewing.

You'll learn this while exploring 3 super quality and quite different tea varieties, including a black, an Oolong and a Puerh teas.

We'll also cover the equipment you need to help you get started on your own tea journey and the importance of the temperature and time control.",/assets/marcus-tea.png,https://www.instagram.com/morefishsauce/,TRUE
Three Brewing Methods Workshop,Anna,2022-07-17 10:00,30,5,02:00h,"We'll be covering a short introduction to specialty coffee, the geography, and history of coffee.

You will learn about the brewing equipments like V60, Chemex and AeroPress. And finally we'll be practicing three methods of brewing and learn about the main ingredients (eg. Quality of the water and coffee grind importance).

At the end we will be doing a tasting and evaluation session.",/assets/brew.png,https://www.instagram.com/thankyoumama.cafe/,
Bean-to-bar chocolate workshop,Anna,2022-07-13 18:30,35,5,02:00h,"We'll start with a brief history and geography of cacao beans. We'll learn about bean-to-bar chocolate production and sustainability and the difference between mass-market and naturally produced chocolate.

After that, we're going to use chocolate to smell various scents and notes individually. 

Finally we'll proceed with more chocolate tasting and evaluation based on the knowledge that we learned in the first part of the workshop.",/assets/choco.png,https://www.instagram.com/thankyoumama.cafe/,
Latte Art Workshop,Matt,2022-05-25 17:30,40,4,02:00h,"Basics of espresso extraction and foaming Milk and Oatmilk for Latte Art. We will pull shots and make the classical coffee beverages you know and love. Like cappucinos, Flat Whites and Lattes and even Cortados. By the end of the course you will be able to make a good espresso and to foam Milk to the texture you desire. The course will be taking place on a manual La Marzocco Linea and Mytos 1 Grinders. The language will be english.",/assets/latte_art.png,https://www.instagram.com/thankyoumama.cafe/,
Espresso Workshop,Anna,2022-05-12 17:30,25,4,02:00h,"We will be studying the basics about the shots pulling, the meaning of chanelling and how it all affects the taste in a delicious cup of coffee. 

The workshop includes the theory and practice. After studying the basics we will spend some time doing our own espressos with professional equipment.

Get ready to be a barista with us!",/assets/espresso.png,https://www.instagram.com/thankyoumama.cafe/,
